movie_name,ratings,year
Rang De Basanti,8.1,(2006)
3 Idiots,8.5,(2009)
Taare Zameen Par,8.4,(2007)
Dil Chahta Hai,8.1,(2001)
"Swades: We, the People",8.3,(2004)
Lagaan: Once Upon a Time in India,8.1,(2001)
Gangs of Wasseypur,8.2,(2012)
Barfi!,8.2,(2012)
Anand,8.1,(1971)
Munna Bhai M.B.B.S.,8.1,(2003)
A Wednesday,8.1,(2008)
Andaz Apna Apna,8.1,(1994)
Sholay,8.1,(1975)
Bhaag Milkha Bhaag,8.3,(2013)
Hera Pheri,8.1,(2000)
Udaan,8.1,(2010)
Kahaani,8.1,(2012)
Black,8.2,(2005)
Chak De! India,8.2,(2007)
Khosla Ka Ghosla!,8.3,(2006)
Jo Jeeta Wohi Sikandar,8.2,(1992)
Zindagi Na Milegi Dobara,8.2,(2011)
Paan Singh Tomar,8.2,(2012)
Dilwale Dulhania Le Jayenge,8.2,(1995)
Omkara,8.1,(2006)
Lage Raho Munna Bhai,8.1,(2006)
Iqbal,8.1,(2005)
The Lunchbox,7.8,(2013)
Black Friday,8.5,(2004)
Company,8,(2002)
Golmaal,8.5,(1979)
Dev.D,8,(2009)
Jaane Bhi Do Yaaro,8.4,(1983)
OMG: Oh My God!,8.2,(2012)
Mughal-E-Azam,8.2,(1960)
Gulaal,8,(2009)
Dor,8,(2006)
Jab We Met,7.9,(2007)
Pyaasa,8.3,(1957)
The Legend of Bhagat Singh,8.2,(2002)
Masoom,8.4,(1983)
Salaam Bombay!,7.9,(1988)
Satya,8.3,(1998)
Vicky Donor,7.8,(2012)
Lakshya,7.9,(2004)
Vaastav: The Reality,8,(1999)
Kal Ho Naa Ho,8,(2003)
Oye Lucky! Lucky Oye!,7.7,(2008)
Sarfarosh,8.1,(1999)
Gangaajal,7.8,(2003)
Angoor,8.3,(1982)
Madras Cafe,7.7,(2013)
English Vinglish,7.9,(2012)
Chupke Chupke,8.3,(1975)
Johnny Gaddaar,7.9,(2007)
Maqbool,8.1,(2003)
Hazaaron Khwaishein Aisi,7.9,(2003)
Rock On!!,7.8,(2008)
Don,7.7,(1978)
Chhoti Si Baat,8.3,(1976)
Guide,8.4,(1965)
Raanjhanaa,7.6,(2013)
Deewaar,8,(1975)
Special Chabbis,8.1,(2013)
Padosan,8.1,(1968)
Mumbai Meri Jaan,7.7,(2008)
Ab Tak Chhappan,7.9,(2004)
Kai po che!,7.9,(2013)
Awaara,7.8,(1951)
Shree 420,7.9,(1955)
Earth,7.7,(1998)
Gunda,7.6,(1998)
Parinda,7.8,(1989)
Dasvidaniya,7.8,(2008)
Hey Ram,8,(2000)
Pinjar: Beyond Boundaries...,8,(2003)
Socha Na Tha,7.4,(2005)
Guru,7.7,(2007)
Bawarchi,8.1,(1972)
Manorama: Six Feet Under,7.6,(2007)
Mr. India,7.8,(1987)
Aamir,7.6,(2008)
Zakhm,7.9,(1998)
Water,7.7,  (2005)
Stanley Ka Dabba,7.9,(2011)
Agneepath,7.6,(1990)
My Name Is Khan,8,(2010)
Qayamat Se Qayamat Tak,7.5,(1988)
3 Deewarein,7.8,(2003)
Abhimaan,7.8,(1973)
Sarkar,7.6,(2005)
Bheja Fry,7.6,(2007)
Mother India,7.8,(1957)
Jaane Tu... Ya Jaane Na,7.5,(2008)
Delhi Belly,7.6,(2011)
Wake Up Sid,7.6,(2009)
Rangeela,7.4,(1995)
Shatranj Ke Khilari,7.5,(1977)
Pyaar Ka Punchnama,7.7,(2011)
Ek Hasina Thi,7.5,(2004)
